time/s	Ewe/V	<I>/mA	
9.375599763152422E+000	6.7443065E-002	-2.306668461486698E+000
9.400599762520869E+000	6.6994593E-002	-2.446667675301430E+000
9.425599761889316E+000	6.6426851E-002	-2.401486164927483E+000
9.450599761257763E+000	6.5959297E-002	-2.370304578021165E+000
9.475599760626210E+000	6.5415405E-002	-2.477213080674403E+000
9.500599759994657E+000	6.4928770E-002	-2.402758911252029E+000
9.525599759363104E+000	6.4389654E-002	-2.407213506177062E+000
9.550599758731551E+000	6.3912556E-002	-2.397031638696795E+000
9.575599758099997E+000	6.3404456E-002	-2.346122912317512E+000
9.600599757468444E+000	6.2986992E-002	-2.317486554905781E+000
9.625599756836891E+000	6.2385853E-002	-2.358850083798174E+000
9.650599756205338E+000	6.1935000E-002	-2.419304285347458E+000
9.675599755573785E+000	6.1498452E-002	-2.397031757235531E+000
9.700599754942232E+000	6.0947407E-002	-2.332122959643591E+000
9.725599754310679E+000	6.0448840E-002	-2.268487015366553E+000
9.750599753679126E+000	5.9976522E-002	-2.292668623924257E+000
9.775599753047572E+000	5.9444554E-002	-2.258305074721569E+000
9.800599752416019E+000	5.8948375E-002	-2.432031305277498E+000
9.825599751784466E+000	5.8485594E-002	-2.418031711578365E+000
9.850599751152913E+000	5.7944089E-002	-2.482303873226044E+000
9.875599750521360E+000	5.7431210E-002	-2.458758768066765E+000
9.900599749889807E+000	5.6963656E-002	-2.362031789049517E+000
9.925599749258254E+000	5.6438852E-002	-2.433940429389473E+000
9.950599748626701E+000	5.5945057E-002	-2.519212805479768E+000
9.975599747995147E+000	5.5410713E-002	-2.432667806595568E+000
1.000059974736359E+001	5.4938383E-002	-2.488667561560874E+000
1.002559974673204E+001	5.4380186E-002	-2.524940036013732E+000
1.005059974610049E+001	5.3938873E-002	-2.441576880142094E+000
1.007559974546894E+001	5.3550038E-002	-2.433940617963668E+000
1.010059974483738E+001	5.2920267E-002	-2.310486737564212E+000
1.012559974420583E+001	5.2376382E-002	-2.402758900523182E+000
1.015059974357428E+001	5.1994700E-002	-2.451758890226484E+000
1.017559974294272E+001	5.1434122E-002	-2.501394744515423E+000
1.020059974231117E+001	5.0997574E-002	-2.482303909281050E+000
1.022559974167962E+001	5.0470382E-002	-2.419940670356151E+000
1.025059974104806E+001	4.9900256E-002	-2.451122351661326E+000
1.027559974041651E+001	4.9401689E-002	-2.491849180385467E+000
1.030059973978496E+001	4.8972305E-002	-2.498213093280793E+000
1.032559973915340E+001	4.8454657E-002	-2.449213226363064E+000
1.035059973852185E+001	4.7903612E-002	-2.596212412714962E+000
1.037559973789030E+001	4.7412202E-002	-2.464485912546516E+000
1.040059973725874E+001	4.6961345E-002	-2.486758542731408E+000
1.042559973662719E+001	4.6446081E-002	-2.524940020814533E+000
1.045059973599564E+001	4.6014313E-002	-2.500122008323686E+000
