time/s,<Ewe>/V,I/mA
125.5013968,1.323708296,47.91678238
125.6013968,1.323747993,47.63032913
125.7013968,1.323781848,48.01226425
125.8013968,1.323845983,47.66216278
125.9013968,1.323870659,47.4393692
126.0013968,1.323876977,47.69399261
126.1013968,1.323871493,47.75764847
126.2013968,1.323889971,47.47119522
126.3013968,1.32394886,47.72581482
126.4013968,1.324008346,48.10774994
126.5013968,1.324033141,47.69399261
126.6013968,1.324053764,47.91678238
126.7013968,1.324042201,47.37571335
126.8013968,1.324027658,47.78947449
126.9013968,1.324017048,47.53485107
127.0013968,1.323974848,47.91678238
127.1013968,1.323928118,47.59850693
127.2013968,1.323940158,47.56668091
127.3013968,1.32395947,47.59850693
127.4013968,1.323951244,47.63032913
127.5013968,1.323948026,47.88496017
127.6013968,1.32396245,47.47119522
127.7013968,1.324031711,47.91678238
127.8013968,1.324202538,47.53485107
127.9013968,1.324691296,47.4393692
128.0013968,1.325058818,47.47119522
128.1013968,1.324996591,48.13957596
128.2013968,1.324779868,47.4393692
128.3013968,1.324540615,47.78947449
128.4013968,1.324355364,47.50302505
128.5013968,1.324203134,47.69399261
128.6013968,1.32408452,47.88496017
128.7013967,1.324022055,47.69399261
128.8013967,1.32401216,47.78947449
128.9013967,1.32403791,47.82129669
129.0013967,1.324061632,47.4393692
129.1013967,1.324087024,47.53485107
129.2013967,1.324107409,47.9486084
129.3013967,1.324132919,48.04409409
129.4013967,1.32414794,47.69399261
129.5013967,1.324130416,47.75764847
129.6013967,1.324085236,47.50302505
129.7013967,1.324056149,47.72581482
129.8013967,1.324052811,47.72581482
129.9013967,1.324068308,47.85313034
130.0013967,1.324062943,47.66216278
130.1013967,1.324047089,47.72581482
130.2013967,1.324043512,47.66216278
130.3013967,1.324046731,47.50302505
130.4013967,1.324038386,47.56668091
130.5013967,1.324040413,47.40753937
130.6013967,1.324050069,47.53485107
130.7013967,1.32408011,48.20323181
130.8013967,1.324116826,47.85313034
130.9013967,1.324180007,47.75764847
131.0013967,1.324264526,47.69399261
131.1013967,1.324281931,47.66216278
131.2013967,1.324290276,47.59850693
131.3013967,1.324273705,47.59850693
131.4013967,1.324281931,47.9486084
131.5013967,1.324522853,47.56668091
131.6013967,1.324629188,47.40753937
131.7013967,1.324535847,47.9486084
131.8013967,1.324405074,47.59850693
131.9013967,1.324343443,47.53485107
132.0013967,1.32426703,47.78947449
132.1013967,1.324193478,47.56668091
132.2013967,1.324171066,47.75764847
132.3013967,1.324147105,47.75764847
132.4013967,1.324167609,47.88496017
132.5013967,1.324160814,47.66216278
132.6013967,1.324144244,47.75764847
132.7013966,1.324141622,47.85313034
132.8013966,1.324160695,47.53485107
132.9013966,1.324210286,47.34388351
133.0013966,1.324221015,47.47119522
133.1013966,1.324210525,47.75764847
133.2013966,1.324201226,47.24840164
133.3013966,1.324219823,47.78947449
133.4013966,1.324260712,47.85313034
133.5013966,1.324296117,47.56668091
133.6013966,1.32432425,47.63032913
133.7013966,1.324346542,47.69399261
133.8013966,1.324348092,47.63032913
133.9013966,1.324320555,47.63032913
134.0013966,1.324326634,48.04409409
134.1013966,1.324354172,47.63032913
134.2013966,1.324392557,47.40753937
134.3013966,1.32441628,47.75764847
134.4013966,1.324461341,47.85313034
134.5013966,1.324505091,47.82129669
134.6013966,1.324527383,47.88496017
134.7013966,1.324509859,48.13957596
134.8013966,1.324444532,47.91678238
134.9013966,1.324401736,47.91678238
135.0013966,1.324370861,47.88496017
135.1013966,1.324344158,47.88496017
135.2013966,1.324329257,47.98044205
135.3013966,1.324307919,48.10774994
135.4013966,1.324306011,47.75764847
135.5013966,1.324322581,47.63032913
135.6013966,1.324363232,47.69399261
135.7013966,1.324394345,47.82129669
135.8013966,1.324366093,47.63032913
135.9013966,1.324344158,47.53485107
136.0013966,1.324336052,47.72581482
136.1013966,1.324355006,47.4393692
136.2013966,1.324384332,47.50302505
136.3013966,1.324411511,47.50302505
136.4013966,1.324466109,47.63032913
136.5013966,1.324514866,47.78947449
136.6013965,1.324548721,47.59850693
136.7013965,1.32457912,47.40753937
136.8013965,1.324582696,47.63032913
136.9013965,1.324871421,47.53485107
137.0013965,1.325132132,47.88496017
137.1013965,1.32507205,48.04409409
137.2013965,1.324944258,47.59850693
137.3013965,1.324788928,47.37571335
137.4013965,1.324660182,47.88496017
137.5013965,1.324587584,47.9486084
137.6013965,1.324684501,47.63032913
137.7013965,1.324934483,47.69399261
137.8013965,1.324932456,47.53485107
137.9013965,1.32483077,48.07592773
138.0013965,1.32469213,47.50302505
138.1013965,1.324587584,47.56668091
138.2013965,1.324537039,47.88496017
138.3013965,1.324503422,47.69399261
138.4013965,1.324526787,47.69399261
138.5013965,1.324529529,47.75764847
138.6013965,1.324508786,47.91678238
138.7013965,1.324476123,47.82129669
138.8013965,1.324433923,47.50302505
138.9013965,1.324400306,47.56668091
139.0013965,1.324403763,47.12108612
139.1013965,1.324423432,47.69399261
139.2013965,1.324440718,47.69399261
139.3013965,1.324466705,47.47119522
139.4013965,1.324488401,47.75764847
139.5013965,1.32451117,47.72581482
139.6013965,1.324510217,47.72581482
139.7013965,1.324474931,47.59850693
139.8013965,1.324489832,47.47119522
139.9013965,1.324510574,48.01226425
140.0013965,1.324515462,47.56668091
140.1013965,1.324504972,47.63032913
140.2013965,1.324509501,47.63032913
140.3013965,1.324520946,47.66216278
140.4013965,1.324596405,47.91678238
140.5013965,1.32486093,47.72581482
140.6013964,1.32497108,47.50302505
140.7013964,1.324922562,47.78947449
140.8013964,1.324840307,47.72581482
140.9013964,1.32477355,47.98044205
141.0013964,1.324733734,47.91678238
141.1013964,1.324701905,47.88496017
141.2013964,1.324658275,47.37571335
141.3013964,1.324664235,47.56668091
141.4013964,1.324674487,47.47119522
141.5013964,1.324651361,47.53485107
141.6013964,1.324665308,47.63032913
141.7013964,1.32468152,47.66216278
141.8013964,1.324701905,47.50302505
141.9013964,1.324728727,47.82129669
142.0013964,1.324754357,47.63032913
142.1013964,1.324773073,47.88496017
142.2013964,1.324769378,47.37571335
142.3013964,1.324763775,47.72581482
142.4013964,1.32476151,47.78947449
142.5013964,1.32475543,47.82129669
142.6013964,1.324743152,47.37571335
142.7013964,1.32475841,47.78947449
142.8013964,1.324768543,47.72581482
142.9013964,1.324789643,47.82129669
143.0013964,1.324776053,47.9486084
143.1013964,1.324717641,48.04409409
143.2013964,1.324672103,47.37571335
143.3013964,1.324658275,47.47119522
143.4013964,1.324661851,47.53485107
143.5013964,1.324676275,47.3120575
143.6013964,1.32467711,47.78947449
143.7013964,1.324670911,47.69399261
143.8013964,1.324733734,47.47119522
143.9013964,1.324746966,47.4393692
144.0013964,1.324761748,47.72581482
144.1013964,1.324794054,47.56668091
144.2013964,1.324819803,47.72581482
144.3013964,1.324840784,47.47119522
144.4013964,1.324855685,47.50302505
144.5013963,1.324872851,47.88496017
144.6013963,1.324869514,47.72581482
144.7013963,1.324856639,47.72581482
144.8013963,1.324870706,47.85313034
144.9013963,1.324866295,47.69399261
145.0013963,1.324907184,47.85313034
145.1013963,1.324901819,47.66216278
145.2013963,1.324881911,47.98044205
145.3013963,1.324873328,47.72581482
145.4013963,1.324859858,47.24840164
145.5013963,1.324840784,47.69399261
145.6013963,1.3248173,47.56668091
145.7013963,1.324803233,47.53485107
